"annee","incidence_moyenne"
2000,0.382773450462236
2001,0.152880153327807
2002,0.161546088065691
2003,0.202875825850945
2004,0.158895703036538
2005,0.156086913891884
2006,0.202919793707739
2007,0.20809914064286
2008,0.192985563395605
2009,0.145916055058765
2010,0.146642507291281
2011,0.11667877724511
2012,0.12639656306495
2013,0.125655213008635
2014,0.0777407382372439
2015,0.106218161529864
2016,0.0701820435913653
2017,0.07083648747965
2018,0.0925602361215639
2019,0.0627259326047395
2020,0.0771303067207352
2021,0.0861239560413958
2022,0.0817813059406736
2023,0.144457888635318
2024,0.155487416725409
