region,area_km2,protected_km2,pct_protected
Alibori,26838.89866434284,23393.717900511438,87.16347937030464
Atakora,20516.2229434923,9958.133831295578,48.53785152717048
Atlantique,3179.872084273776,122.95309834127215,3.8666051678412834
Borgou,25631.469571294914,4573.627041309549,17.84379560675532
Collines,14015.225143761303,1303.995892143413,9.304138026807724
Donga,11134.122683342262,2834.132702356872,25.4544770428748
Kouffo,2420.4496780362197,0.8445146641609153,0.03489081685210222
Littoral,74.84879503207044,0.0,0.0
Mono,1577.7261002364041,0.0,0.0
Ouémé,1284.03002470085,0.0,0.0
Plateau,3316.777407372802,439.5700965110034,13.252927239973697
Zou,5232.448187357801,154.67485624632442,2.9560704799722
