departement;pop_totale;area_km2;densite_pop;hosp_pop_moy_rural;hosp_pop_moy_urbain;pharm_pop_moy_rural;pharm_pop_moy_urbain
Borgou;1888630,1;24997,18914;75,55369983;145446;251137,17;443793,78;150664,42
Alibori;1210757,2;26496,86827;45,69435292;94892,91;87377,36;74202,734;
Atakora;1023198,7;21190,92943;48,284748;73378,2;64795,426;81995,87;
Donga;723143;11196,02337;64,58927213;12127,704;83240,65;111380,72;
Collines;813151,8;14225,62687;57,16105307;37731,973;58789,434;58106,02;
Plateau;635881,6;3137,820679;202,6507217;280672,72;343817,56;290580,25;
Zou;1171994,9;5043,655211;232,3701415;174457,89;281696,75;330619,03;138349,64
Littoral;1235457,8;188,4826723;6554,75506;1885610,1;760794,7;741892,1;196518,81
Kouffo;584470,4;2349,949757;248,7161154;258918,33;84148,59;104534,88;
Oueme;1712312,6;1367,584186;1252,071092;740854,9;398982,6;491024,12;201036,62
Atlanique;2647326,5;3201,399924;826,92777;326914,3;442785,2;494220,75;166608,33
Mono;529650,1;1755,990202;301,624761;271844,06;94650,12;79190,07;
;;;;;;;
Moyenne nationnale;;;;358570,7573;246017,9633;275128,3603;170635,564
