Zone,Superficie_ha,Pourcentage
Addis Abeba,1979.19,12.08
Oromia,896.94,5.47
Somali,792.9,4.84
Oromia,747.09,4.56
Oromia,652.86,3.98
Benshangul-Gumaz,589.41,3.6
Oromia,583.38,3.56
Oromia,582.48,3.56
Somali,576.27,3.52
Somali,575.46,3.51
"Southern Nations, Nationalities",537.75,3.28
Benshangul-Gumaz,489.51,2.99
Amhara,488.43,2.98
Oromia,481.41,2.94
Amhara,424.71,2.59
Oromia,387.54,2.37
Oromia,341.01,2.08
Oromia,340.65,2.08
Oromia,301.95,1.84
Oromia,282.78,1.73
Oromia,273.33,1.67
Gambela Peoples,231.21,1.41
Somali,230.94,1.41
Oromia,229.86,1.4
Oromia,227.79,1.39
Tigray,195.48,1.19
Benshangul-Gumaz,188.1,1.15
"Southern Nations, Nationalities",166.14,1.01
Amhara,165.06,1.01
Tigray,156.15,0.95
Tigray,148.59,0.91
"Southern Nations, Nationalities",148.14,0.9
Amhara,146.52,0.89
"Southern Nations, Nationalities",132.3,0.81
Oromia,128.7,0.79
Harari People,124.29,0.76
Tigray,121.05,0.74
Oromia,120.42,0.74
Amhara,105.48,0.64
Amhara,100.44,0.61
Gambela Peoples,99.81,0.61
"Southern Nations, Nationalities",96.39,0.59
Tigray,78.21,0.48
"Southern Nations, Nationalities",67.77,0.41
Amhara,64.8,0.4
"Southern Nations, Nationalities",57.24,0.35
Somali,53.01,0.32
Somali,48.78,0.3
"Southern Nations, Nationalities",47.61,0.29
Somali,45.18,0.28
Dire Dawa,42.21,0.26
Somali,40.23,0.25
Amhara,36.54,0.22
Amhara,32.67,0.2
"Southern Nations, Nationalities",26.82,0.16
"Southern Nations, Nationalities",21.24,0.13
Oromia,20.07,0.12
Somali,19.44,0.12
"Southern Nations, Nationalities",18.27,0.11
"Southern Nations, Nationalities",12.06,0.07
"Southern Nations, Nationalities",10.17,0.06
"Southern Nations, Nationalities",8.55,0.05
Afar,8.46,0.05
"Southern Nations, Nationalities",7.38,0.05
Amhara,7.2,0.04
"Southern Nations, Nationalities",4.86,0.03
"Southern Nations, Nationalities",4.41,0.03
"Southern Nations, Nationalities",4.14,0.03
Amhara,4.14,0.03
"Southern Nations, Nationalities",2.52,0.02
Afar,1.08,0.01
Afar,0.36,0.0
Amhara,0.0,0.0
Afar,0.0,0.0
Afar,0.0,0.0
Gambela Peoples,0.0,0.0
"Southern Nations, Nationalities",0.0,0.0
"Southern Nations, Nationalities",0.0,0.0
"Southern Nations, Nationalities",0.0,0.0
