shapeName,BSI
Bamako,0.15401961
Ansongo,0.24039778
Bourem,0.2464879
Gao,0.24909002
Menaka,0.22564642
Bafoulabe,0.18561104
Diema,0.21624106
Kayes,0.21684463
Kenieba,0.1563468
Kita,0.18021178
Nioro,0.22170566
Yelimane,0.20699407
Abeibara,0.22752552
Kidal,0.23081456
Tessalit,0.23384751
Tin-Essako,0.22368948
Banamba,0.22433722
Dioila,0.196637
Kangaba,0.1641824
Kati,0.17827037
Kolokani,0.21458435
Koulikoro,0.21338145
Nara,0.23025516
Bandiagara,0.2389747
Bankass,0.23053378
Djenne,0.19072592
Douentza,0.24891037
Koro,0.2336819
Mopti,0.1900208
Tenenkou,0.20181304
Youwarou,0.18017356
Baroueli,0.21805479
Bla,0.21384738
Macina,0.21436678
Niono,0.21124592
San,0.21398194
Segou,0.22166564
Tominian,0.2284217
Bougouni,0.1571105
Kadiolo,0.13206787
Kolondieba,0.14861122
Koutiala,0.19830692
Sikasso,0.15685776
Yanfolila,0.1358435
Yorosso,0.20399028
Dire,0.17522578
Goundam,0.2164323
Gourma-Rharous,0.24577348
Niafunke,0.20782216
Tombouctou,0.23206525
